endTime,artistName,trackName,msPlayed
2020-10-30 21:08,Taylor Swift,Cornelia Street,287266
2020-10-30 21:12,Maggie Rogers,Tim McGraw - Recorded At Spotify Studios NYC,250836
2020-10-30 21:17,Phoebe Bridgers,Scott Street,305000
2020-10-30 21:21,Maggie Rogers,Fallingwater,271200
2020-10-30 21:25,Phoebe Bridgers,ICU,190093
2020-10-30 21:30,Phoebe Bridgers,I Know The End,314217
2020-10-30 21:42,Kacey Musgraves,Space Cowboy,216280
2020-10-30 21:46,Kacey Musgraves,Lonely Weekend,226666
2020-10-30 21:49,Sara Bareilles,King of Anything,207493
2020-10-30 21:52,Kacey Musgraves,Golden Hour,198453
2020-10-30 21:57,Phoebe Bridgers,Moon Song,277676
2020-10-30 22:01,Phoebe Bridgers,Chinese Satellite,217070
2020-10-30 22:04,Phoebe Bridgers,Kyoto,184524
2020-10-30 22:08,Taylor Swift,Out Of The Woods,235800
2020-10-30 22:11,Kacey Musgraves,Rainbow,214293
2020-10-30 22:15,Phoebe Bridgers,Savior Complex,241640
2020-10-30 22:20,Sara Bareilles,Orpheus,253395
2020-10-30 22:24,Taylor Swift,Love Story,235266
2020-10-30 22:27,Phoebe Bridgers,Motion Sickness,229760
2020-10-30 22:31,Kacey Musgraves,Happy & Sad,243186
2020-10-30 22:35,Maggie Rogers,On + Off,221600
2020-10-30 22:40,Sara Bareilles,Saint Honesty,274677
2020-10-30 22:44,Taylor Swift,invisible string,252880
2020-10-30 22:47,Phoebe Bridgers,Punisher,189622
2020-10-30 22:52,Taylor Swift,Back To December,293026
2020-10-30 22:56,Maggie Rogers,Say It,220960
2020-10-30 23:00,Maggie Rogers,Light On,233880
2020-10-30 23:05,Taylor Swift,betty,294521
2020-10-30 23:09,Taylor Swift,exile (feat. Bon Iver),285640
2020-10-30 23:13,Maggie Rogers,Retrograde,251000
2020-10-30 23:17,Kacey Musgraves,Wonder Woman,240426
2020-10-30 23:21,Phoebe Bridgers,Garden Song,219681
2020-10-30 23:25,Taylor Swift,You Belong With Me,231133
2020-10-31 00:38,Taylor Swift,peace,234000
2020-10-31 00:42,Taylor Swift,cardigan,239560
2020-10-31 00:46,Taylor Swift,Lover,221306
2020-10-31 00:49,Sara Bareilles,Someone Who Loves Me,197836
2020-10-31 00:53,Taylor Swift,Speak Now,240760
2020-10-31 00:57,Clairo,Bags,260520
2020-10-31 01:01,Taylor Swift,the last great american dynasty,231000
2020-10-31 01:37,Taylor Swift,Style,79742
2020-10-31 01:38,Passport Quartet,I'm a Fool to Want You,66761
2020-10-31 01:48,Chet Baker,Polka Dots And Moonbeams,588760
2020-10-31 01:52,Paolo Fresu,The Silence of Your Heart,261415
2020-10-31 02:21,Tommy Flanagan,Angel Eyes - Studio,152380
2020-10-31 02:28,Phoebe Bridgers,Chinese Satellite,217070
2020-10-31 02:32,Taylor Swift,seven,208906
2020-10-31 02:36,Taylor Swift,my tears ricochet,255893
2020-10-31 02:42,Taylor Swift,All Too Well,327893
2020-10-31 02:45,Taylor Swift,Love Story,235266
2020-10-31 02:49,Sara Bareilles,Orpheus,217941
2020-10-31 14:50,Taylor Swift,Mine,193173
2020-10-31 14:53,Ariana Grande,nasty,200732
